"","Year","State","market","harvest","materials","chemical","Value","units"
"1",2019,"CALIFORNIA","BEARING","APPLICATIONS","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.205","LB / ACRE / APPLICATION"
"2",2019,"CALIFORNIA","BEARING","APPLICATIONS","(BLAD = 30006)","FUNGICIDE","0.482","LB / ACRE / APPLICATION"
"3",2019,"CALIFORNIA","BEARING","APPLICATIONS","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","0.023","LB / ACRE / APPLICATION"
"4",2019,"CALIFORNIA","BEARING","APPLICATIONS","(BOSCALID = 128008)","FUNGICIDE","0.337","LB / ACRE / APPLICATION"
"5",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","1.739","LB / ACRE / APPLICATION"
"6",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUFENAMID = 555550)","FUNGICIDE","0.023","LB / ACRE / APPLICATION"
"7",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.32","LB / ACRE / APPLICATION"
"8",2019,"CALIFORNIA","BEARING","APPLICATIONS","(DIFENOCONAZOLE = 128847)","FUNGICIDE","0.114","LB / ACRE / APPLICATION"
"9",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FENHEXAMID = 90209)","FUNGICIDE","0.623","LB / ACRE / APPLICATION"
"10",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.213","LB / ACRE / APPLICATION"
"11",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUOPYRAM = 80302)","FUNGICIDE","0.113","LB / ACRE / APPLICATION"
"12",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.168","LB / ACRE / APPLICATION"
"13",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FOSETYL-AL = 123301)","FUNGICIDE","3.997","LB / ACRE / APPLICATION"
"14",2019,"CALIFORNIA","BEARING","APPLICATIONS","(MEFENOXAM = 113502)","FUNGICIDE","0.493","LB / ACRE / APPLICATION"
"15",2019,"CALIFORNIA","BEARING","APPLICATIONS","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.106","LB / ACRE / APPLICATION"
"16",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.303","LB / ACRE / APPLICATION"
"17",2019,"CALIFORNIA","BEARING","APPLICATIONS","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.073","LB / ACRE / APPLICATION"
"18",2019,"CALIFORNIA","BEARING","APPLICATIONS","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.381","LB / ACRE / APPLICATION"
"19",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112","LB / ACRE / APPLICATION"
"20",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.169","LB / ACRE / APPLICATION"
"21",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PYRIMETHANIL = 288201)","FUNGICIDE","0.51","LB / ACRE / APPLICATION"
"22",2019,"CALIFORNIA","BEARING","APPLICATIONS","(QUINOLINE = 55459)","FUNGICIDE","0.097","LB / ACRE / APPLICATION"
"23",2019,"CALIFORNIA","BEARING","APPLICATIONS","(SULFUR = 77501)","FUNGICIDE","3.656","LB / ACRE / APPLICATION"
"24",2019,"CALIFORNIA","BEARING","APPLICATIONS","(TETRACONAZOLE = 120603)","FUNGICIDE","0.039","LB / ACRE / APPLICATION"
"25",2019,"CALIFORNIA","BEARING","APPLICATIONS","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.669","LB / ACRE / APPLICATION"
"26",2019,"CALIFORNIA","BEARING","APPLICATIONS","(THIRAM = 79801)","FUNGICIDE","2.219","LB / ACRE / APPLICATION"
"27",2019,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.113","LB / ACRE / APPLICATION"
"28",2019,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.23","LB / ACRE / APPLICATION"
"29",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","0.024","LB / ACRE / APPLICATION"
"30",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUMIOXAZIN = 129034)","HERBICIDE","0.089","LB / ACRE / APPLICATION"
"31",2019,"CALIFORNIA","BEARING","APPLICATIONS","(OXYFLUORFEN = 111601)","HERBICIDE","0.313","LB / ACRE / APPLICATION"
"32",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PENDIMETHALIN = 108501)","HERBICIDE","1.202","LB / ACRE / APPLICATION"
"33",2019,"CALIFORNIA","BEARING","APPLICATIONS","(ABAMECTIN = 122804)","INSECTICIDE","0.019","LB / ACRE / APPLICATION"
"34",2019,"CALIFORNIA","BEARING","APPLICATIONS","(ACEQUINOCYL = 6329)","INSECTICIDE","0.297","LB / ACRE / APPLICATION"
